Code;EnumCode
Assignment;Assignment
Open Market Letting;OpenMarketLetting
Open Market Sub-Letting;OpenMarketSubLetting
Pre-Letting;PreLetting
Leasehold;Leasehold
Freehold (Vacant Possession);FreeholdVacantPossession
Freehold Sale;FreeholdSale
Feuhold Sale;FeuholdSale
Long Leasehold Sale;LongLeaseholdSale
Lease Regear;LeaseRegear
Lease Renewal;LeaseRenewal
Rent Review;RentReview
By Arrangement;ByArrangement
Long Leasehold (Vacant Possession);LongLeaseholdVacantPossession
Feuhold (Vacant Possession);FeuholdVacantPossession
Lease Surrender;LeaseSurrender
