PropertyTypeCode;CountryCode;ActivityTypeCode;Order
House;GB;Open Market Letting;1
House;GB;Freehold Sale;2
Flat;GB;Open Market Letting;1
Flat;GB;Freehold Sale;2
Flat;GB;Long Leasehold Sale;3
Bungalow;GB;Open Market Letting;1
Bungalow;GB;Freehold Sale;2
Maisonette;GB;Open Market Letting;1
Maisonette;GB;Freehold Sale;2
Maisonette;GB;Long Leasehold Sale;3
Development Plot;GB;Freehold Sale;1
Development Plot;GB;Long Leasehold Sale;2
Farm/Estate;GB;Freehold Sale;1
Garage Only;GB;Open Market Letting;1
Garage Only;GB;Freehold Sale;2
Parking Space;GB;Open Market Letting;1
Parking Space;GB;Freehold Sale;2
Land;GB;Freehold Sale;1
Land;GB;Long Leasehold Sale;2
Houseboat;GB;Open Market Letting;1
Houseboat;GB;Freehold Sale;2
Leisure;GB;Assignment;1
Leisure;GB;Open Market Letting;2
Leisure;GB;Open Market Sub-Letting;3
Leisure;GB;Pre-Letting;4
Leisure;GB;Leasehold;5
Leisure;GB;Freehold (Vacant Possession);6
Leisure;GB;Freehold Sale;7
Leisure;GB;Feuhold Sale;8
Leisure;GB;Long Leasehold Sale;9
Leisure;GB;Lease Regear;10
Leisure;GB;Lease Renewal;11
Leisure;GB;Rent Review;12
Leisure;GB;By Arrangement;13
Leisure;GB;Long Leasehold (Vacant Possession);14
Leisure;GB;Feuhold (Vacant Possession);15
Leisure;GB;Lease Surrender;16
Retail;GB;Assignment;1
Retail;GB;Open Market Letting;2
Retail;GB;Open Market Sub-Letting;3
Retail;GB;Pre-Letting;4
Retail;GB;Leasehold;5
Retail;GB;Freehold (Vacant Possession);6
Retail;GB;Freehold Sale;7
Retail;GB;Feuhold Sale;8
Retail;GB;Long Leasehold Sale;9
Retail;GB;Lease Regear;10
Retail;GB;Lease Renewal;11
Retail;GB;Rent Review;12
Retail;GB;By Arrangement;13
Retail;GB;Long Leasehold (Vacant Possession);14
Retail;GB;Feuhold (Vacant Possession);15
Retail;GB;Lease Surrender;16
Industrial;GB;Assignment;1
Industrial;GB;Open Market Letting;2
Industrial;GB;Open Market Sub-Letting;3
Industrial;GB;Pre-Letting;4
Industrial;GB;Leasehold;5
Industrial;GB;Freehold (Vacant Possession);6
Industrial;GB;Freehold Sale;7
Industrial;GB;Feuhold Sale;8
Industrial;GB;Long Leasehold Sale;9
Industrial;GB;Lease Regear;10
Industrial;GB;Lease Renewal;11
Industrial;GB;Rent Review;12
Industrial;GB;By Arrangement;13
Industrial;GB;Long Leasehold (Vacant Possession);14
Industrial;GB;Feuhold (Vacant Possession);15
Industrial;GB;Lease Surrender;16
Other;GB;Assignment;1
Other;GB;Open Market Letting;2
