AddressFieldName;AddressFieldLabelKey;CountryIsoCode;EnumTypeItemCode;Required;RegEx;RowOrder;ColumnOrder;ColumnSize
PropertyNumber;ADDRESSFORM.PROPERTYNUMBER;GB;Property;0;^.{0,8}$;1;1;4
PropertyName;ADDRESSFORM.PROPERTYNAME;GB;Property;0;^.{0,128}$;1;2;8
Line2;ADDRESSFORM.LINE2;GB;Property;0;^.{0,128}$;2;1;12
Line3;ADDRESSFORM.LINE3;GB;Property;0;^.{0,128}$;3;1;12
Postcode;ADDRESSFORM.POSTCODE;GB;Property;1;^.{1,10}$;4;1;4
City;ADDRESSFORM.CITY;GB;Property;0;^.{0,128}$;5;1;8
County;ADDRESSFORM.COUNTY;GB;Property;0;^.{0,128}$;6;1;8
City;ADDRESSFORM.CITY;GB;Requirement;0;^.{0,128}$;1;1;8
Line2;ADDRESSFORM.STREETNAME;GB;Requirement;0;^.{0,128}$;2;1;8
Postcode;ADDRESSFORM.POSTCODE;GB;Requirement;0;^.{0,10}$;3;1;4
