CountryIsoCode;PropertyTypeCode;GroupCode;GroupOrder;IsDisplayGroupLabel;CharacteristicCode
GB;House;Style;1;1;Detached
GB;House;Style;1;1;SemiDetached
GB;House;Style;1;1;Terraced
GB;House;Style;1;1;NewBuild
GB;House;Situation;2;1;Garden
GB;House;Situation;2;1;Land
GB;House;Situation;2;1;PatioTerrace
GB;House;Situation;2;1;Conservatory
GB;House;Location;3;1;Rural
GB;House;Location;3;1;Village
GB;House;Location;3;1;TownCity
GB;House;Location;3;1;Island
GB;House;Special;4;1;Conversion
GB;House;Special;4;1;NewDevelopment
GB;House;Special;4;1;Listed
GB;House;Special;4;1;Secondaryaccomodation
GB;House;Special;4;1;Outbuildings
GB;House;Special;4;1;LeisureFacilities
GB;House;Special;4;1;GolfCourse
GB;House;Special;4;1;SwimmingPool
GB;House;Special;4;1;TennisCourt
GB;House;Special;4;1;Equestrian
GB;House;Special;4;1;Fishing
GB;House;Special;4;1;Waterside
GB;House;Special;4;1;Coastal
GB;House;Age;5;1;Period
GB;House;Age;5;1;PostWarModern
GB;House;Age;5;1;New
GB;House;Decoration;6;1;Unmodernised
GB;House;Decoration;6;1;Fair
GB;House;Decoration;6;1;Good
GB;House;Decoration;6;1;VeryGood
GB;Flat;Style;1;1;Duplex
GB;Flat;Style;1;1;Penthouse
GB;Flat;Situation;2;1;Garden
GB;Flat;Situation;2;1;Land
GB;Flat;Situation;2;1;PatioTerrace
GB;Flat;Situation;2;1;Conservatory
GB;Flat;Situation;2;1;Balcony
GB;Flat;Situation;2;1;CommunalGarden
GB;Flat;Location;3;1;Rural
GB;Flat;Location;3;1;Village
GB;Flat;Location;3;1;TownCity
GB;Flat;Location;3;1;Island
GB;Flat;Special;4;1;PurposeBuilt
GB;Flat;Special;4;1;NewDevelopment
GB;Flat;Special;4;1;Listed
GB;Flat;Special;4;1;Secondaryaccomodation
GB;Flat;Special;4;1;PorterConceirge
GB;Flat;Special;4;1;LeisureFacilities
GB;Flat;Special;4;1;GolfCourse
