Code;LocaleCode;Value
Detached;en;Detached
SemiDetached;en;Semi-Detached
Terraced;en;Terraced
NewBuild;en;New Build
Duplex;en;Duplex
Penthouse;en;Penthouse
Garden;en;Garden
Land;en;Land
PatioTerrace;en;Patio / Terrace
Conservatory;en;Conservatory
Balcony;en;Balcony
CommunalGarden;en;Communal Garden
CityCentre;en;City Centre
Suburban;en;Suburban
Rural;en;Rural
Village;en;Village
TownCity;en;Town/City
Island;en;Island
Coastal;en;Coastal
RiversideLakeside;en;Riverside/Lakeside
Airport;en;Airport
Motorway;en;Motorway
PurposeBuilt;en;Purpose Built
Conversion;en;Conversion
NewDevelopment;en;New Development
Listed;en;Listed
Secondaryaccomodation;en;Secondary accomodation
Outbuildings;en;Outbuildings
PorterConceirge;en;Porter / Conceirge
LeisureFacilities;en;Leisure Facilities
GolfCourse;en;Golf Course
SwimmingPool;en;Swimming Pool
TennisCourt;en;Tennis Court
Equestrian;en;Equestrian
Fishing;en;Fishing
Waterside;en;Waterside
IncomeStream;en;Income Stream
HighRise;en;High Rise
ContaminatedLand;en;Contaminated Land
Affordable;en;Affordable
Retirement;en;Retirement
CareHome;en;Care Home
Spa;en;Spa
ConferenceCentre;en;Conference Centre
EventVenue;en;Event Venue
Restaurant;en;Restaurant
Bar;en;Bar
Lift;en;Lift
Ownersaccomodation;en;Owners accomodation
Staffaccomodation;en;Staff accomodation
Brasserie;en;Brasserie
WetLeisure;en;Wet Leisure
DryLeisure;en;Dry Leisure
SmallLuxuryHotels;en;Small Luxury Hotels
PrivateBanking;en;Private Banking
GreenfieldLand;en;Greenfield Land
BrownfieldLand;en;Brownfield Land
MixedUse;en;Mixed Use
School;en;School
Hostel;en;Hostel
Placeofworship;en;Place of worship
Period;en;Period
PostWarModern;en;Post War/Modern
New;en;New
Unmodernised;en;Unmodernised
Fair;en;Fair
Good;en;Good
VeryGood;en;Very Good
Consentgranted;en;Consent granted
Subjecttoplanning;en;Subject to planning
Unconditional;en;Unconditional
Strategic;en;Strategic
ConservationArea;en;Conservation Area
Budget;en;Budget
Midmarket;en;Mid-market
FullService;en;Full Service
ServicedApartments;en;Serviced Apartments
FragmentedTimeshare;en;Fragmented/Timeshare
Airconditioning;en;Air conditioning
Comfortcooling;en;Comfort cooling
Centralheating;en;Central heating
Carparkingspaces;en;Car parking spaces
Carparkingratio;en;Car parking ratio
Raisedaccessflooring;en;Raised access flooring
Suspendedceilings;en;Suspended ceilings
LG3lighting;en;LG3 lighting
LG7lighting;en;LG7 lighting
Cat2lighting;en;Cat 2 lighting
Recessedlighting(noncat2);en;Recessed lighting (non cat2)
Perimetertrunking;en;Perimeter trunking
Underfloortrunking;en;Under-floor trunking
24houraccess;en;24 hour access
24hoursecurity;en;24 hour security
Airhandling;en;Air handling
Atrium;en;Atrium
Basementstorage;en;Basement storage
Broadbandenabled;en;Broadband enabled
Buildingmanagementsystem;en;Building management system
Canopies;en;Canopies
Carpeting;en;Carpeting
Ceilingheight;en;Ceiling height
Ceilingtype;en;Ceiling type
Cellularoffices;en;Cellular offices
Cladding;en;Cladding
Constructiontype;en;Construction type
Datebuilt;en;Date built
Entryphonesystem;en;Entry phone system
Escalators;en;Escalators
Floorloading;en;Floor loading
Glazing;en;Glazing
Goodslift;en;Goods lift
GradeIIlisted;en;Grade II listed
Heating;en;Heating
Kitchen;en;Kitchen
Loadingfacilities;en;Loading facilities
Offices;en;Offices
Onsitesecurity;en;On-site security
Passengerlift;en;Passenger lift
Planninggrid;en;Planning grid
Powersupply;en;Power supply
Rooflights;en;Roof lights
Serviceyard;en;Service yard
SprinklerSystem;en;Sprinkler System
Threephasepower;en;Three phase power
Toilets;en;Toilets

