Code;EnumCode
Accountants;Accountants
AgriculturalAndFarming;AgriculturalAndFarming
Apparel;Apparel
ArchitectsDesign;ArchitectsDesign
AssetManagement;AssetManagement
Banks;Banks
BooksStationery;BooksStationery
BuildingAndConstruction;BuildingAndConstruction
BusinessServices;BusinessServices
BuyingAgent;BuyingAgent
CareHome;CareHome
CharitiesAndChurches;CharitiesAndChurches
Chemist;Chemist
DeptVariety;DeptVariety
EateriesBars;EateriesBars
Education;Education
ElectricalTelephones;ElectricalTelephones
EmploymentAgency;EmploymentAgency
EquestrianStud;EquestrianStud
FamilyOffice;FamilyOffice
Finance;Finance
FoodDrinkRetailers;FoodDrinkRetailers
GeneralServices;GeneralServices
Hotel;Hotel
Industrial;Industrial
Insurance;Insurance
InvestorsFundManagers;InvestorsFundManagers
Legal;Legal
LocalAuthorityGovernment;LocalAuthorityGovernment
MediaAndPublishing;MediaAndPublishing
MedicalHealthcare;MedicalHealthcare
MultiFamilyOffice;MultiFamilyOffice
OilAndGas;OilAndGas
Other;Other
PropertyCompany;PropertyCompany 
PropertyConsultantsSurveyors;PropertyConsultantsSurveyors
RenewablesSustainability;RenewablesSustainability
Retailers;Retailers
Supermarkets;Supermarkets
TelecommunicationsTechnology;TelecommunicationsTechnology
TourismLeisure;TourismLeisure
Transport;Transport
TravelAgents;TravelAgents
Utilities;Utilities
Wholesale;Wholesale
