PropertyTypeCode;CountryCode;Division;Order
Leisure;GB;Commercial;1
Retail;GB;Commercial;2
Industrial;GB;Commercial;3
Other;GB;Commercial;4
Office;GB;Commercial;5
Office.Office;GB;Commercial;6
Office.Office (Bus. Park);GB;Commercial;7
Office.Office (Portfolio);GB;Commercial;8
Leisure.Hotel;GB;Commercial;9
Leisure.Leisure;GB;Commercial;10
Leisure.Leisure (Portfolio);GB;Commercial;11
Retail.Car Showroom;GB;Commercial;12
Retail.Department/Variety Store;GB;Commercial;13
Retail.Department Stores;GB;Commercial;14
Retail.Garden Centre;GB;Commercial;15
Retail.Retail;GB;Commercial;16
Retail.Retail (Portfolio);GB;Commercial;17
Retail.Shopping Centre;GB;Commercial;18
Retail.Shopping Centre (Portfolio);GB;Commercial;19
Retail.Retail Unit A1;GB;Commercial;20
Retail.Retail Unit A2;GB;Commercial;21
Retail.Retail Unit A3;GB;Commercial;22
Retail.Retail Unit A4;GB;Commercial;23
Retail.Retail Unit A5;GB;Commercial;24
Retail.Retail Wharehouse (Portfolio);GB;Commercial;25
Retail.Retail Wh (Bulky Parks);GB;Commercial;26
Retail.Retail Wh (Bulky Solus);GB;Commercial;27
Retail.Retail Wh (Open A1 Solus);GB;Commercial;28
Retail.Supermarket;GB;Commercial;29
Industrial.Industrial Estate;GB;Commercial;30
Industrial.Industrial Distribution;GB;Commercial;31
Industrial.Industrial (Portfolio);GB;Commercial;32
Industrial.Trade park;GB;Commercial;33
Other.Agricultural;GB;Commercial;34
Other.Car Park;GB;Commercial;35
Other.Institutional;GB;Commercial;36
Other.Institutional (Portfolio);GB;Commercial;37
Other.Land/Site/Dev;GB;Commercial;38
Other.Mixed (Portfolio);GB;Commercial;39
Other.Mixed Use;GB;Commercial;40
Other.Other;GB;Commercial;41
Other.Student Accomodation;GB;Commercial;42
House;GB;Residential;43
Flat;GB;Residential;44
Bungalow;GB;Residential;45
Maisonette;GB;Residential;46
Studio Flat;GB;Residential;47
Development Plot;GB;Residential;48
Farm/Estate;GB;Residential;49
Garage Only;GB;Residential;50
Parking Space;GB;Residential;51
Land;GB;Residential;52
Houseboat;GB;Residential;53
