PropertyTypeCode;LocaleCode;Value
Leisure;en;Leisure
Retail;en;Retail
Industrial;en;Industrial
Other;en;Other
Office;en;Office
Leisure.Hotel;en;Hotel
Leisure.Leisure;en;Leisure
Retail.Car Showroom;en;Car Showroom
Retail.Department Stores;en;Department Stores
Retail.Shopping Centre;en;Shopping Centre
Retail.Retail Unit A1;en;Retail Unit A1
Retail.Retail Unit A2;en;Retail Unit A2
Retail.Retail Unit A3;en;Retail Unit A3
Retail.Retail Unit A4;en;Retail Unit A4
Retail.Retail Unit A5;en;Retail Unit A5
Industrial.Industrial Estate;en;Industrial Estate
Industrial.Industrial/Distribution;en;Industrial/Distribution
Other.Agricultural;en;Agricultural
Other.Car Park;en;Car Park
Other.Institutional;en;Institutional
Other.Mixed Use;en;Mixed Use
House;en;House
Flat;en;Flat
Bungalow;en;Bungalow
Maisonette;en;Maisonette
Studio Flat;en;Studio Flat
Development Plot;en;Development Plot
Farm/Estate;en;Farm/Estate
Garage Only;en;Garage Only
Parking Space;en;Parking Space
Land;en;Land
Houseboat;en;Houseboat
