RequirementTypeEnumCode;ActivityTypeEnumCode;CountryIsoCode;PropertyTypeEnumCode
ResidentialSale;FreeholdSale;GB;House
ResidentialSale;FreeholdSale;GB;Flat
ResidentialSale;FreeholdSale;GB;Bungalow
ResidentialSale;FreeholdSale;GB;Maisonette
ResidentialSale;FreeholdSale;GB;DevelopmentPlot
ResidentialSale;FreeholdSale;GB;FarmEstate
ResidentialSale;FreeholdSale;GB;GarageOnly
ResidentialSale;FreeholdSale;GB;ParkingSpace
ResidentialSale;FreeholdSale;GB;Land
ResidentialSale;FreeholdSale;GB;Houseboat
ResidentialSale;FreeholdSale;GB;Leisure
ResidentialSale;FreeholdSale;GB;Retail
ResidentialSale;FreeholdSale;GB;Industrial
ResidentialSale;FreeholdSale;GB;Other
ResidentialSale;FreeholdSale;GB;Office
ResidentialSale;FreeholdSale;GB;OfficeOffice
ResidentialSale;FreeholdSale;GB;OfficeOfficeBusPark
ResidentialSale;FreeholdSale;GB;OfficeOfficePortfolio
ResidentialSale;FreeholdSale;GB;LeisureHotel
ResidentialSale;FreeholdSale;GB;LeisureLeisure
ResidentialSale;FreeholdSale;GB;LeisureLeisurePortfolio
ResidentialSale;FreeholdSale;GB;RetailCarShowroom
ResidentialSale;FreeholdSale;GB;RetailDepartmentVarietyStore
ResidentialSale;FreeholdSale;GB;RetailDepartmentStores
ResidentialSale;FreeholdSale;GB;RetailGardenCentre
ResidentialSale;FreeholdSale;GB;RetailRetail
ResidentialSale;FreeholdSale;GB;RetailRetailPortfolio
ResidentialSale;FreeholdSale;GB;RetailShoppingCentre
ResidentialSale;FreeholdSale;GB;RetailShoppingCentrePortfolio
ResidentialSale;FreeholdSale;GB;RetailRetailUnitA1
ResidentialSale;FreeholdSale;GB;RetailRetailUnitA2
ResidentialSale;FreeholdSale;GB;RetailRetailUnitA3
ResidentialSale;FreeholdSale;GB;RetailRetailUnitA4
ResidentialSale;FreeholdSale;GB;RetailRetailUnitA5
ResidentialSale;FreeholdSale;GB;RetailRetailWarehousePortfolio
ResidentialSale;FreeholdSale;GB;RetailRetailWhBulkyParks
ResidentialSale;FreeholdSale;GB;RetailRetailWhBulkySolus
ResidentialSale;FreeholdSale;GB;RetailRetailWhOpenA1Solus
ResidentialSale;FreeholdSale;GB;RetailSupermarket
ResidentialSale;FreeholdSale;GB;IndustrialIndustrialEstate
ResidentialSale;FreeholdSale;GB;IndustrialIndustrialDistribution
ResidentialSale;FreeholdSale;GB;IndustrialIndustrialPortfolio
ResidentialSale;FreeholdSale;GB;IndustrialTradePark
ResidentialSale;FreeholdSale;GB;OtherAgricultural
ResidentialSale;FreeholdSale;GB;OtherCarPark
ResidentialSale;FreeholdSale;GB;OtherInstitutional
ResidentialSale;FreeholdSale;GB;OtherInstitutionalPortfolio
ResidentialSale;FreeholdSale;GB;OtherLandSiteDev
ResidentialSale;FreeholdSale;GB;OtherMixedPortfolio
ResidentialSale;FreeholdSale;GB;OtherMixedUse
ResidentialSale;FreeholdSale;GB;OtherOther
ResidentialSale;FreeholdSale;GB;OtherStudentAccomodation
ResidentialSale;LongLeaseholdSale;GB;Flat
ResidentialSale;LongLeaseholdSale;GB;Maisonette
ResidentialSale;LongLeaseholdSale;GB;DevelopmentPlot
ResidentialSale;LongLeaseholdSale;GB;Land
ResidentialSale;LongLeaseholdSale;GB;Leisure
ResidentialSale;LongLeaseholdSale;GB;Retail
ResidentialSale;LongLeaseholdSale;GB;Industrial
ResidentialSale;LongLeaseholdSale;GB;Other
ResidentialSale;LongLeaseholdSale;GB;Office
ResidentialSale;LongLeaseholdSale;GB;OfficeOffice
ResidentialSale;LongLeaseholdSale;GB;OfficeOfficeBusPark
ResidentialSale;LongLeaseholdSale;GB;OfficeOfficePortfolio
ResidentialSale;LongLeaseholdSale;GB;LeisureHotel
ResidentialSale;LongLeaseholdSale;GB;LeisureLeisure
ResidentialSale;LongLeaseholdSale;GB;LeisureLeisurePortfolio
ResidentialSale;LongLeaseholdSale;GB;RetailCarShowroom
ResidentialSale;LongLeaseholdSale;GB;RetailDepartmentVarietyStore
ResidentialSale;LongLeaseholdSale;GB;RetailDepartmentStores
ResidentialSale;LongLeaseholdSale;GB;RetailGardenCentre
ResidentialSale;LongLeaseholdSale;GB;RetailRetail
ResidentialSale;LongLeaseholdSale;GB;RetailRetailPortfolio
ResidentialSale;LongLeaseholdSale;GB;RetailShoppingCentre
ResidentialSale;LongLeaseholdSale;GB;RetailShoppingCentrePortfolio
ResidentialSale;LongLeaseholdSale;GB;RetailRetailUnitA1
ResidentialSale;LongLeaseholdSale;GB;RetailRetailUnitA2
ResidentialSale;LongLeaseholdSale;GB;RetailRetailUnitA3
ResidentialSale;LongLeaseholdSale;GB;RetailRetailUnitA4
ResidentialSale;LongLeaseholdSale;GB;RetailRetailUnitA5
ResidentialSale;LongLeaseholdSale;GB;RetailRetailWarehousePortfolio
ResidentialSale;LongLeaseholdSale;GB;RetailRetailWhBulkyParks
ResidentialSale;LongLeaseholdSale;GB;RetailRetailWhBulkySolus
ResidentialSale;LongLeaseholdSale;GB;RetailRetailWhOpenA1Solus
ResidentialSale;LongLeaseholdSale;GB;RetailSupermarket
ResidentialSale;LongLeaseholdSale;GB;IndustrialIndustrialEstate
ResidentialSale;LongLeaseholdSale;GB;IndustrialIndustrialDistribution
ResidentialSale;LongLeaseholdSale;GB;IndustrialIndustrialPortfolio
ResidentialSale;LongLeaseholdSale;GB;IndustrialTradePark
ResidentialSale;LongLeaseholdSale;GB;OtherAgricultural
ResidentialSale;LongLeaseholdSale;GB;OtherCarPark
ResidentialSale;LongLeaseholdSale;GB;OtherInstitutional
ResidentialSale;LongLeaseholdSale;GB;OtherInstitutionalPortfolio
ResidentialSale;LongLeaseholdSale;GB;OtherLandSiteDev
ResidentialSale;LongLeaseholdSale;GB;OtherMixedPortfolio
ResidentialSale;LongLeaseholdSale;GB;OtherMixedUse
ResidentialSale;LongLeaseholdSale;GB;OtherOther
ResidentialSale;LongLeaseholdSale;GB;OtherStudentAccomodation
ResidentialLetting;OpenMarketLetting;GB;House
ResidentialLetting;OpenMarketLetting;GB;Flat
ResidentialLetting;OpenMarketLetting;GB;Bungalow
ResidentialLetting;OpenMarketLetting;GB;Maisonette
ResidentialLetting;OpenMarketLetting;GB;GarageOnly
ResidentialLetting;OpenMarketLetting;GB;ParkingSpace
ResidentialLetting;OpenMarketLetting;GB;Houseboat
ResidentialLetting;OpenMarketLetting;GB;Leisure
ResidentialLetting;OpenMarketLetting;GB;Retail
ResidentialLetting;OpenMarketLetting;GB;Industrial
ResidentialLetting;OpenMarketLetting;GB;Other
ResidentialLetting;OpenMarketLetting;GB;Office
ResidentialLetting;OpenMarketLetting;GB;OfficeOffice
ResidentialLetting;OpenMarketLetting;GB;OfficeOfficeBusPark
ResidentialLetting;OpenMarketLetting;GB;OfficeOfficePortfolio
ResidentialLetting;OpenMarketLetting;GB;LeisureHotel
ResidentialLetting;OpenMarketLetting;GB;LeisureLeisure
ResidentialLetting;OpenMarketLetting;GB;LeisureLeisurePortfolio
